Transaction_ID,Invoice_Date,SKU_Code,Customer_Code,Units,Gross_Sales_EUR,Discount_EUR,Rebate_EUR
INV148274,2026-09-01,SKU012,C0041,253,5502.51,351.13,40.02
INV148275,2026-09-01,SKU013,C0021,169,6449.5,717.46,302.64
INV148283,2026-09-01,SKU014,C0195,139,8462.53,1112.56,351.94
INV148338,2026-09-01,SKU029,C0172,110,12431.04,1476.64,508.5
INV148354,2026-09-01,SKU010,C0019,22,26745.58,7435.0,446.79
INV148375,2026-09-01,SKU015,C0041,204,7205.3,431.9,76.0
INV148393,2026-09-01,SKU027,C0049,95,1780.31,117.83,19.69
INV148404,2026-09-01,SKU005,C0091,66,2332.28,148.08,28.32
INV148463,2026-09-01,SKU021,C0005,131,7583.52,421.33,91.89
INV148474,2026-09-01,SKU028,C0168,165,14812.07,3148.04,337.83
INV148504,2026-09-01,SKU028,C0006,110,9862.06,568.54,101.4
INV148529,2026-09-01,SKU003,C0070,43,566.56,68.95,28.04
INV148648,2026-09-01,SKU007,C0092,348,15617.02,796.92,150.81
INV148658,2026-09-01,SKU007,C0197,253,11444.36,590.68,118.71
INV148688,2026-09-01,SKU011,C0150,45,184049.94,41828.24,2776.25
INV148740,2026-09-01,SKU014,C0057,273,16795.76,1106.41,161.38
INV148745,2026-09-01,SKU028,C0005,141,12507.27,859.95,140.95
INV148781,2026-09-01,SKU015,C0034,295,10236.74,555.74,118.78
INV148796,2026-09-01,SKU001,C0092,361,5136.81,285.2,53.46
INV148845,2026-09-01,SKU021,C0024,160,9466.0,535.26,101.63
INV148854,2026-09-01,SKU030,C0105,33,4655.72,588.47,181.99
INV148884,2026-09-01,SKU006,C0065,828,27054.77,1749.52,190.81
INV148919,2026-09-01,SKU009,C0176,33,118191.19,29209.13,1882.57
INV148994,2026-09-01,SKU011,C0071,34,140372.97,17191.61,7720.22
INV148996,2026-09-01,SKU001,C0026,163,2257.18,125.16,20.81
INV149003,2026-09-01,SKU027,C0052,134,2417.19,155.75,31.19
INV149064,2026-09-01,SKU014,C0023,106,6342.24,831.96,386.8
INV149132,2026-09-01,SKU004,C0095,34,668.22,77.68,28.98
INV149264,2026-09-01,SKU013,C0153,109,4154.9,514.12,164.11
INV149273,2026-09-01,SKU030,C0132,30,4172.43,239.45,30.45
INV149307,2026-09-01,SKU020,C0140,155,6342.28,429.01,65.49
INV149309,2026-09-01,SKU010,C0020,11,13062.29,1336.04,555.61
INV149316,2026-09-01,SKU028,C0172,55,4827.34,626.5,303.12
INV149331,2026-09-01,SKU014,C0035,239,14589.3,785.01,158.76
INV149348,2026-09-01,SKU029,C0136,35,3958.96,537.82,169.22
INV149360,2026-09-01,SKU025,C0008,360,4317.18,272.39,33.53
INV149367,2026-09-01,SKU018,C0042,134,2068.96,136.32,16.51
INV149377,2026-09-01,SKU012,C0024,411,8992.46,598.35,89.21
INV149407,2026-09-01,SKU004,C0098,26,511.29,35.18,4.18
INV149418,2026-09-01,SKU021,C0016,76,4583.46,285.34,54.87
INV149426,2026-09-01,SKU016,C0122,158,8273.37,562.01,76.43
INV149432,2026-09-01,SKU026,C0147,431,6731.37,358.33,68.89
INV149537,2026-09-01,SKU020,C0002,95,3886.38,481.97,139.06
INV149571,2026-09-01,SKU027,C0040,92,1701.49,97.56,21.04
INV149601,2026-09-01,SKU024,C0148,534,25392.71,1337.75,231.88
INV149623,2026-09-01,SKU005,C0065,82,2851.09,175.78,22.79
INV149670,2026-09-01,SKU020,C0036,231,9571.23,2232.97,217.35
INV149684,2026-09-01,SKU028,C0012,47,4154.6,432.54,152.97
INV149722,2026-09-01,SKU006,C0133,1051,33389.65,1804.11,394.0
INV149735,2026-09-01,SKU028,C0093,79,7212.27,429.99,90.72
INV148281,2026-09-02,SKU026,C0164,330,4947.02,279.19,40.37
INV148329,2026-09-02,SKU027,C0198,330,6185.72,413.22,43.48
INV148346,2026-09-02,SKU008,C0166,50,97909.6,6093.57,1221.84
INV148366,2026-09-02,SKU007,C0164,244,11146.31,605.9,125.3
